Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
12.9e6,caps hf ps1 0 0 0 0,-5.10423779540E-001,+1.90296523764E-001,+1.84929583321E-001,+7.77932376855E-001,+1.85577025285E-001,+7.77814325412E-001,-5.31743511912E-001,+6.61857656620E-002,
12.9e6,caps hf ps1 0 0 0 15,-5.08519453829E-001,+1.82631975728E-001,+2.01337761406E-001,+7.76745279553E-001,+2.00510830209E-001,+7.76596054985E-001,-5.22871986710E-001,+9.39368341739E-002,
12.9e6,caps hf ps1 0 0 0 16,-5.08945769728E-001,+1.80395861218E-001,+2.05147527952E-001,+7.75707279744E-001,+2.04641953258E-001,+7.76100399701E-001,-5.20509661788E-001,+1.01646738554E-001,
12.9e6,caps hf ps1 0 0 0 31,-5.08800529494E-001,+1.72490188620E-001,+2.19770538198E-001,+7.73955127503E-001,+2.19763527575E-001,+7.74052133309E-001,-5.11193111309E-001,+1.28103450181E-001,
12.9e6,caps hf ps1 0 0 0 32,-5.08030181096E-001,+1.67884657304E-001,+2.27101834874E-001,+7.72721915628E-001,+2.27017537707E-001,+7.72890820644E-001,-5.05673645821E-001,+1.41176237647E-001,
12.9e6,caps hf ps1 0 0 0 47,-5.08786813438E-001,+1.59982100239E-001,+2.41785595013E-001,+7.69950487685E-001,+2.41855488379E-001,+7.69830463043E-001,-4.95448710186E-001,+1.65926229985E-001,
12.9e6,caps hf ps1 0 0 0 48,-5.08645086818E-001,+1.58163138757E-001,+2.45596756106E-001,+7.68713387211E-001,+2.45479718459E-001,+7.69197480197E-001,-4.92308401247E-001,+1.72872232403E-001,
12.9e6,caps hf ps1 0 0 0 63,-5.08807628940E-001,+1.50530530266E-001,+2.58543098666E-001,+7.65579429459E-001,+2.58125847176E-001,+7.66073199023E-001,-4.81141099512E-001,+1.95644874720E-001,
12.9e6,caps hf ps1 0 0 1 0,-5.09726117850E-001,+1.47992597801E-001,+2.64170250148E-001,+7.64924559103E-001,+2.62732504547E-001,+7.65339298208E-001,-4.78016882769E-001,+2.02916025239E-001,
12.9e6,caps hf ps1 0 0 1 15,-5.10063530130E-001,+1.41101079056E-001,+2.75891944046E-001,+7.61196688622E-001,+2.76149816652E-001,+7.61087383063E-001,-4.65841424918E-001,+2.25712901375E-001,
12.9e6,caps hf ps1 0 0 1 16,-5.10634652100E-001,+1.38737337543E-001,+2.79864693350E-001,+7.59115974965E-001,+2.79469844520E-001,+7.60820309457E-001,-4.62848665090E-001,+2.32267088467E-001,
12.9e6,caps hf ps1 0 0 1 31,-5.11441020740E-001,+1.32812236832E-001,+2.92613331199E-001,+7.55565616644E-001,+2.91811475886E-001,+7.55523116346E-001,-4.49746158270E-001,+2.53055959888E-001,
12.9e6,caps hf ps1 0 0 1 32,-5.12112527633E-001,+1.29310215382E-001,+2.98649529643E-001,+7.52899891150E-001,+2.97703694426E-001,+7.53610677154E-001,-4.43243367594E-001,+2.63827606135E-001,
12.9e6,caps hf ps1 0 0 1 47,-5.13113280636E-001,+1.22873882298E-001,+3.09664661268E-001,+7.48283992909E-001,+3.09308088409E-001,+7.49203547339E-001,-4.30419070623E-001,+2.82802501014E-001,
12.9e6,caps hf ps1 0 0 1 48,-5.13805156031E-001,+1.20456873219E-001,+3.13232212716E-001,+7.47414183152E-001,+3.14212416310E-001,+7.47870664635E-001,-4.27089399441E-001,+2.88853069619E-001,
12.9e6,caps hf ps1 0 0 1 63,-5.15357715673E-001,+1.14090291121E-001,+3.24341996673E-001,+7.42494682694E-001,+3.24176476219E-001,+7.43304635638E-001,-4.13599245190E-001,+3.06683233678E-001,
12.9e6,caps hf ps1 0 0 2 0,-5.15876205304E-001,+1.11067208090E-001,+3.29044821924E-001,+7.40765112375E-001,+3.28632763264E-001,+7.39455450024E-001,-4.07797568764E-001,+3.14989648583E-001,
12.9e6,caps hf ps1 0 0 2 15,-5.17301155722E-001,+1.05118046313E-001,+3.39060128585E-001,+7.35155137154E-001,+3.39273439419E-001,+7.35416538395E-001,-3.94231148361E-001,+3.31683848937E-001,
12.9e6,caps hf ps1 0 0 2 16,-5.18249284716E-001,+1.03136778103E-001,+3.42531438289E-001,+7.34324655065E-001,+3.42320220382E-001,+7.33455508468E-001,-3.89916414390E-001,+3.37022041810E-001,
12.9e6,caps hf ps1 0 0 2 31,-5.20280315289E-001,+9.76512749098E-002,+3.52715090787E-001,+7.28676454464E-001,+3.51954094687E-001,+7.28796574109E-001,-3.77346426501E-001,+3.52409868869E-001,
12.9e6,caps hf ps1 0 0 2 32,-5.21383521710E-001,+9.49497941336E-002,+3.57648108590E-001,+7.25718344059E-001,+3.57365592956E-001,+7.25177680885E-001,-3.70092036939E-001,+3.60886524889E-001,
12.9e6,caps hf ps1 0 0 2 47,-5.23348052330E-001,+8.98307565289E-002,+3.66795736909E-001,+7.20299476364E-001,+3.65859258757E-001,+7.20074337961E-001,-3.56372778390E-001,+3.75358028650E-001,
12.9e6,caps hf ps1 0 0 2 48,-5.24830065445E-001,+8.86294394133E-002,+3.69196718462E-001,+7.18731451861E-001,+3.68691595957E-001,+7.18384288824E-001,-3.52643229089E-001,+3.79646518745E-001,
12.9e6,caps hf ps1 0 0 2 63,-5.26502552065E-001,+8.27089168737E-002,+3.77989705285E-001,+7.13484711476E-001,+3.77909707546E-001,+7.13367648120E-001,-3.39362188112E-001,+3.92860329306E-001,
12.9e6,caps hf ps1 0 0 3 0,-5.28003295856E-001,+8.04586514900E-002,+3.81521043922E-001,+7.11403206545E-001,+3.81356575064E-001,+7.10918656587E-001,-3.34324464350E-001,+3.98834629549E-001,
12.9e6,caps hf ps1 0 0 3 15,-5.29358531887E-001,+7.63333347636E-002,+3.90076684726E-001,+7.04657344999E-001,+3.90566420909E-001,+7.05092274027E-001,-3.20148429920E-001,+4.12153229294E-001,
12.9e6,caps hf ps1 0 0 3 16,-5.30391314034E-001,+7.43761077754E-002,+3.91299581850E-001,+7.03058197567E-001,+3.92065747401E-001,+7.02858668035E-001,-3.16008985479E-001,+4.16079483273E-001,
12.9e6,caps hf ps1 0 0 3 31,-5.31760646831E-001,+6.96374440217E-002,+3.99103409096E-001,+6.97434577592E-001,+3.99882398687E-001,+6.98044664652E-001,-3.02918486760E-001,+4.27899339466E-001,
12.9e6,caps hf ps1 0 0 3 32,-5.33685264120E-001,+6.82030294034E-002,+4.03388040731E-001,+6.94185707045E-001,+4.03402873420E-001,+6.94684656806E-001,-2.96472721584E-001,+4.33321134197E-001,
12.9e6,caps hf ps1 0 0 3 47,-5.36520302393E-001,+6.32915654838E-002,+4.10562477189E-001,+6.89070355865E-001,+4.11371292634E-001,+6.88237736143E-001,-2.82862234403E-001,+4.45042721798E-001,
12.9e6,caps hf ps1 0 0 3 48,-5.36229199902E-001,+6.17236417000E-002,+4.12803725956E-001,+6.87450113987E-001,+4.13309621348E-001,+6.86741097797E-001,-2.78312269521E-001,+4.48181132975E-001,
12.9e6,caps hf ps1 0 0 3 63,-5.40010879808E-001,+5.75759405081E-002,+4.20810771141E-001,+6.82007116970E-001,+4.19724215328E-001,+6.81678396493E-001,-2.65828539408E-001,+4.57602591295E-001,
12.9e6,caps hf ps1 0 0 4 0,-5.39609502100E-001,+5.73409119971E-002,+4.21342661913E-001,+6.81199512209E-001,+4.20934583053E-001,+6.80684130564E-001,-2.64716197120E-001,+4.59153726708E-001,
12.9e6,caps hf ps1 0 0 4 15,-5.41655841118E-001,+5.38844546710E-002,+4.26749976133E-001,+6.75521587820E-001,+4.26976549237E-001,+6.75544385035E-001,-2.52087857704E-001,+4.68512631636E-001,
12.9e6,caps hf ps1 0 0 4 16,-5.42626814435E-001,+5.22382022507E-002,+4.29214535095E-001,+6.73368725532E-001,+4.29536335655E-001,+6.73570615797E-001,-2.48067987026E-001,+4.71539245428E-001,
12.9e6,caps hf ps1 0 0 4 31,-5.45346857673E-001,+4.84410535434E-002,+4.35605957771E-001,+6.67436409875E-001,+4.35160067532E-001,+6.66965967923E-001,-2.34711003667E-001,+4.80797820682E-001,
12.9e6,caps hf ps1 0 0 4 32,-5.45509519022E-001,+4.67268412946E-002,+4.37432075668E-001,+6.65229313465E-001,+4.37072890053E-001,+6.65164314347E-001,-2.27927168774E-001,+4.84656255534E-001,
12.9e6,caps hf ps1 0 0 4 47,-5.48793910024E-001,+4.30478169798E-002,+4.43191609127E-001,+6.59156409346E-001,+4.44055825869E-001,+6.59547843959E-001,-2.16264266961E-001,+4.93032477390E-001,
12.9e6,caps hf ps1 0 0 4 48,-5.49969092990E-001,+4.21980021395E-002,+4.45774360394E-001,+6.57380321453E-001,+4.45393352850E-001,+6.57014601754E-001,-2.11268763300E-001,+4.95701841445E-001,
12.9e6,caps hf ps1 0 0 4 63,-5.52036834760E-001,+3.90648723501E-002,+4.50715056994E-001,+6.51859699796E-001,+4.50216471917E-001,+6.51301770013E-001,-1.99955477414E-001,+5.02631563880E-001,
12.9e6,caps hf ps1 0 0 5 0,-5.52347000366E-001,+3.70152993519E-002,+4.51892173489E-001,+6.51455930199E-001,+4.52259312620E-001,+6.50367375750E-001,-1.98353035758E-001,+5.05525740741E-001,
12.9e6,caps hf ps1 0 0 5 15,-5.54742408066E-001,+3.42233655605E-002,+4.56743657967E-001,+6.45591716040E-001,+4.56572012800E-001,+6.45216597383E-001,-1.85929195230E-001,+5.11935367432E-001,
