Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
1.29E+07,caps hf  0 0 0 0,-5.35E-01,1.84E-01,9.29E-02,7.80E-01,9.20E-02,7.81E-01,-5.57E-01,-4.64E-02
1.29E+07,caps hf  0 0 0 1,-5.35E-01,1.83E-01,9.37E-02,7.80E-01,9.29E-02,7.81E-01,-5.57E-01,-4.47E-02
1.29E+07,caps hf  0 0 0 2,-5.35E-01,1.83E-01,9.46E-02,7.80E-01,9.38E-02,7.81E-01,-5.57E-01,-4.30E-02
1.29E+07,caps hf  0 0 0 3,-5.35E-01,1.82E-01,9.55E-02,7.80E-01,9.47E-02,7.81E-01,-5.57E-01,-4.12E-02
1.29E+07,caps hf  0 0 0 4,-5.35E-01,1.82E-01,9.63E-02,7.80E-01,9.56E-02,7.81E-01,-5.57E-01,-3.95E-02
1.29E+07,caps hf  0 0 0 5,-5.35E-01,1.81E-01,9.72E-02,7.80E-01,9.65E-02,7.81E-01,-5.57E-01,-3.78E-02
1.29E+07,caps hf  0 0 0 6,-5.35E-01,1.81E-01,9.81E-02,7.81E-01,9.74E-02,7.81E-01,-5.56E-01,-3.61E-02
1.29E+07,caps hf  0 0 0 7,-5.35E-01,1.80E-01,9.90E-02,7.81E-01,9.83E-02,7.81E-01,-5.56E-01,-3.43E-02
1.29E+07,caps hf  0 0 0 8,-5.35E-01,1.80E-01,9.98E-02,7.81E-01,9.91E-02,7.81E-01,-5.56E-01,-3.26E-02
1.29E+07,caps hf  0 0 0 9,-5.35E-01,1.79E-01,1.01E-01,7.81E-01,1.00E-01,7.81E-01,-5.56E-01,-3.09E-02
1.29E+07,caps hf  0 0 0 10,-5.35E-01,1.79E-01,1.02E-01,7.81E-01,1.01E-01,7.82E-01,-5.56E-01,-2.92E-02
1.29E+07,caps hf  0 0 0 11,-5.35E-01,1.79E-01,1.02E-01,7.81E-01,1.02E-01,7.82E-01,-5.56E-01,-2.75E-02
1.29E+07,caps hf  0 0 0 12,-5.35E-01,1.78E-01,1.03E-01,7.81E-01,1.03E-01,7.82E-01,-5.55E-01,-2.57E-02
1.29E+07,caps hf  0 0 0 13,-5.35E-01,1.78E-01,1.04E-01,7.81E-01,1.04E-01,7.82E-01,-5.55E-01,-2.40E-02
1.29E+07,caps hf  0 0 0 14,-5.35E-01,1.77E-01,1.05E-01,7.81E-01,1.04E-01,7.82E-01,-5.55E-01,-2.23E-02
1.29E+07,caps hf  0 0 0 15,-5.34E-01,1.77E-01,1.06E-01,7.81E-01,1.05E-01,7.82E-01,-5.55E-01,-2.06E-02
1.29E+07,caps hf  0 0 0 16,-5.34E-01,1.74E-01,1.11E-01,7.81E-01,1.09E-01,7.82E-01,-5.54E-01,-1.19E-02
1.29E+07,caps hf  0 0 0 17,-5.34E-01,1.74E-01,1.12E-01,7.81E-01,1.10E-01,7.82E-01,-5.53E-01,-1.02E-02
1.29E+07,caps hf  0 0 0 18,-5.34E-01,1.73E-01,1.13E-01,7.81E-01,1.11E-01,7.82E-01,-5.53E-01,-8.52E-03
